dataset,category,auroc,n_samples,n_honest,n_deceptive
insider-trading,refusal,0.8562533566058003,500,304,196
insider-trading,evasion,0.8890306122448979,500,304,196
insider-trading,lying,0.8521918635875403,500,304,196
insider-trading,harm,0.6082001879699248,500,304,196
insider-trading,roleplay,0.8525107411385607,500,304,196
convincing-game,refusal,0.38596663781572116,500,142,358
convincing-game,evasion,0.4028050987489181,500,142,358
convincing-game,lying,0.5529349280037769,500,142,358
convincing-game,harm,0.479089621528051,500,142,358
convincing-game,roleplay,0.8535880084979148,500,142,358
instructed-deception,refusal,0.8115991485074506,500,219,281
instructed-deception,evasion,0.8594387299111133,500,219,281
instructed-deception,lying,0.8440176148458701,500,219,281
instructed-deception,harm,0.7961942833000212,500,219,281
instructed-deception,roleplay,0.829993987552609,500,219,281
harm-pressure-choice,refusal,0.5492120726495726,500,468,32
harm-pressure-choice,evasion,0.634281517094017,500,468,32
harm-pressure-choice,lying,0.7085336538461539,500,468,32
harm-pressure-choice,harm,0.7000534188034189,500,468,32
harm-pressure-choice,roleplay,0.7284321581196581,500,468,32
harm-pressure-knowledge-report,refusal,0.9417299331646226,500,467,33
harm-pressure-knowledge-report,evasion,0.6032055025631042,500,467,33
harm-pressure-knowledge-report,lying,0.9380961650768931,500,467,33
harm-pressure-knowledge-report,harm,0.7684770618389462,500,467,33
harm-pressure-knowledge-report,roleplay,0.14217117643241842,500,467,33
soft-trigger,refusal,0.813664,500,250,250
soft-trigger,evasion,0.550368,500,250,250
soft-trigger,lying,0.935424,500,250,250
soft-trigger,harm,0.22864,500,250,250
soft-trigger,roleplay,0.252544,500,250,250
