token,count,mean,std,min,max
issues,1,0.7458072900772095,0.0,0.7458072900772095,0.7458072900772095
Samples,1,0.7241935729980469,0.0,0.7241935729980469,0.7241935729980469
distributor,3,0.6717156966527303,0.13141604175814986,0.48660117387771606,0.7785811424255371
wiring,82,0.6627220978460661,0.1620965588593158,0.11228178441524506,1.0096795558929443
accountable,1,0.6236748099327087,0.0,0.6236748099327087,0.6236748099327087
vag,1,0.5323458909988403,0.0,0.5323458909988403,0.5323458909988403
ideas,1,0.5165150165557861,0.0,0.5165150165557861,0.5165150165557861
fuel,5,0.5071344554424286,0.2149846232239377,0.26292911171913147,0.75434809923172
engines,5,0.5007260978221894,0.18567696008138845,0.34678637981414795,0.7672377824783325
Output,202,0.4885410650974453,0.3285437796161697,-0.2831053137779236,1.0426669120788574
ibrate,63,0.475475464903173,0.15034923761939636,-0.10398165881633759,0.7764269113540649
Steering,42,0.4725443415698551,0.1373005829901825,0.10990601778030396,0.8132665157318115
card,57,0.4716114261955546,0.1360496206134034,-0.008303232491016388,0.7232568264007568
identical,1,0.46563613414764404,0.0,0.46563613414764404,0.46563613414764404
ibr,2,0.46448449045419693,0.23774292320013046,0.22674156725406647,0.7022274136543274
garbage,1,0.4589060842990875,0.0,0.4589060842990875,0.4589060842990875
Distrib,62,0.4547297837993791,0.22248143280712532,-0.10678394138813019,0.8754273653030396
crimes,1,0.4476878046989441,0.0,0.4476878046989441,0.4476878046989441
theirs,1,0.4308357536792755,0.0,0.4308357536792755,0.4308357536792755
downloading,1,0.4299193024635315,0.0,0.4299193024635315,0.4299193024635315
accidents,1,0.42945972084999084,0.0,0.42945972084999084,0.42945972084999084
utor,62,0.4009285668331769,0.2725976029652052,-0.3937686085700989,0.7283700108528137
Power,462,0.39007701409085616,0.23526901781930562,-0.29206374287605286,0.8437590599060059
olds,30,0.38400134692589444,0.1702983562918405,-0.2099032998085022,0.6200283169746399
camera,1,0.38104569911956787,0.0,0.38104569911956787,0.38104569911956787
disclose,2,0.3780936971306801,0.24500056356191635,0.13309313356876373,0.6230942606925964
Wiring,1801,0.36978842895053976,0.208130433458607,-0.3001739978790283,0.8882406949996948
individual,1,0.3686998188495636,0.0,0.3686998188495636,0.3686998188495636
falls,1,0.36623939871788025,0.0,0.36623939871788025,0.36623939871788025
reactor,3,0.3659048875172933,0.02790691997410069,0.32686465978622437,0.3904339671134949
ute,170,0.36413450322168717,0.19136377471777505,-0.28920069336891174,0.6800802946090698
abil,42,0.3641223834738845,0.1063547266931318,0.05957602709531784,0.5644348859786987
asty,3,0.3612937579552333,0.21502348266697874,0.07739414274692535,0.5976014137268066
hearing,4,0.35779162496328354,0.12448616145830886,0.23989740014076233,0.558204174041748
Chart,46,0.34516617388505005,0.15553579560116132,-0.11574751138687134,0.6909480094909668
...,1,0.3410148024559021,0.0,0.3410148024559021,0.3410148024559021
power,3,0.34000777701536816,0.10075921335401378,0.19751273095607758,0.4112553000450134
overlap,4,0.3393339365720749,0.11952546134523809,0.16326552629470825,0.4862365424633026
data,6,0.3367207149664561,0.2815043950307951,-0.2734215557575226,0.5557339787483215
Filter,62,0.33623156510293484,0.1787748487008476,-0.0011776499450206757,0.6533710360527039
conver,1,0.334097683429718,0.0,0.334097683429718,0.334097683429718
KE,104,0.33373988720660025,0.09611203129540999,0.12885870039463043,0.5717899203300476
Card,420,0.33229876314068124,0.17532607825496493,-0.15718063712120056,0.7234309911727905
chute,2,0.3298933207988739,0.0,0.3298933207988739,0.3298933207988739
security,14,0.3218153012650354,0.08150457275143294,0.14499416947364807,0.4399523138999939
add,1,0.3215070962905884,0.0,0.3215070962905884,0.3215070962905884
ipe,1,0.3207935392856598,0.0,0.3207935392856598,0.3207935392856598
happy,1,0.3188900947570801,0.0,0.3188900947570801,0.3188900947570801
iping,11,0.31702079420739954,0.09422549916968401,0.13807526230812073,0.4295985698699951
