feature_idx,cosine_similarity,rank
62099,0.2073541515859106,1
61332,0.15467099618427518,2
52515,0.13912338533092475,3
16368,0.1368973668755295,4
13875,0.1316300947883888,5
8722,0.12486056984404824,6
20131,0.12386957648319712,7
16360,0.1225873129100639,8
48135,0.1220058095466401,9
58667,0.12131656441706269,10
41263,0.12093936054889977,11
54839,0.11788773938142433,12
22093,0.11439569393357282,13
20023,0.11304050524848029,14
55595,0.11191107305736823,15
41379,0.11157496907117592,16
41404,0.11152779183701705,17
11464,0.10973736003842502,18
26247,0.10911743810131411,19
61940,0.10819945970377962,20
37653,0.10775656496372461,21
35676,0.10727716571978499,22
4075,0.10620154157750138,23
11584,0.10610305744722863,24
4389,0.10563779047280472,25
9200,0.10560391171407786,26
27289,0.1055874503281708,27
50480,0.1053879396916899,28
22314,0.10499652370777035,29
45875,0.104989797737538,30
10962,0.10372850808259886,31
28105,0.10368994339674917,32
43339,0.10325538756469989,33
36173,0.10313360007179544,34
38287,0.10157003859504082,35
30032,0.10145048871063353,36
56678,0.10136710270314257,37
16314,0.10128269408890604,38
64976,0.10108646072723179,39
56977,0.10103852396463917,40
57824,0.10098558300019127,41
40505,0.10051405179181115,42
17864,0.10034740848596665,43
3548,0.09905524796684226,44
359,0.09870727599676384,45
61966,0.09868593240368538,46
18225,0.09845215755919852,47
61590,0.0983342965490307,48
29289,0.09778727808066465,49
35880,0.09768710093249021,50
12084,0.09719776631719064,51
15158,0.09647550712043301,52
32899,0.09588929824920135,53
21565,0.09565672615447089,54
4458,0.09560590912078885,55
33640,0.09541229132513997,56
46019,0.09512605372001588,57
51808,0.09512273488869293,58
37809,0.0950479843521409,59
40355,0.09497352844404243,60
58739,0.09487497345164912,61
32807,0.09480964999115948,62
59210,0.09472910258818996,63
51417,0.09456053738475677,64
14182,0.09420513505141422,65
60472,0.09411508406403582,66
49358,0.09399202825433117,67
51962,0.09392356100703826,68
55398,0.09383820720255985,69
10948,0.09380954718473351,70
22953,0.09365908498048801,71
30377,0.09333951286649383,72
35192,0.09320958173463854,73
2154,0.0929793094993975,74
50207,0.09282386431975619,75
52920,0.09250395397700446,76
62273,0.09245686437118272,77
28186,0.09240541791830845,78
18407,0.09185799879845168,79
20533,0.09163810826639097,80
18590,0.09153018065853416,81
42997,0.0913292412642723,82
4308,0.09131638569421476,83
53698,0.09067137554501313,84
35063,0.09048024434803398,85
18484,0.09030225340664992,86
11005,0.09028318098350091,87
52044,0.09016681204467494,88
11316,0.08998432684533543,89
54609,0.08990635523908752,90
9174,0.08983681558002037,91
18934,0.08956477258694795,92
39110,0.08956088273018352,93
42520,0.08933425370493507,94
5423,0.08927654760891025,95
49280,0.08915242414311193,96
10838,0.08897635796154084,97
4985,0.08851930971803514,98
41208,0.08840442325533092,99
46384,0.08803265382796996,100
23069,0.08800861989198894,101
10613,0.08798484006051939,102
63256,0.08768035661330939,103
17954,0.0874123748456164,104
47503,0.08717768658106606,105
17768,0.0871757287746671,106
16540,0.08716345410960882,107
44507,0.08695823199349244,108
13038,0.08695159979226397,109
64739,0.08687405507696631,110
59000,0.08659986338969752,111
23673,0.08638777952897907,112
19188,0.08631264389030861,113
30020,0.08617301514883048,114
37994,0.08612476916091122,115
18911,0.08582475012044614,116
54724,0.08579908732383046,117
40077,0.08569867634832176,118
51637,0.08540248760613697,119
2068,0.08515457190896794,120
37640,0.08505266244812855,121
20514,0.08504561928747739,122
34750,0.08500518170670772,123
16467,0.08499440550981188,124
12562,0.08460316571205309,125
46167,0.08440043568967472,126
25613,0.08434607944765764,127
63935,0.08356642959744512,128
30512,0.08337532377061088,129
23245,0.08334715774825545,130
59134,0.0833133483717758,131
2943,0.08283868679854023,132
58651,0.08276155990857886,133
27190,0.08273140902582754,134
30170,0.08263013568117118,135
63863,0.0825741209421205,136
60062,0.08257146520405985,137
50475,0.08254610411818722,138
35297,0.08237344049822123,139
7557,0.08230876078476138,140
61578,0.08228250265431138,141
12702,0.08221793567930501,142
42992,0.08211304052995459,143
9168,0.08206069059817639,144
40260,0.08203358997318122,145
44936,0.0820201334955727,146
42685,0.08201649306874793,147
1549,0.08196717666737079,148
64305,0.08195195494001903,149
29901,0.0818411219438964,150
40444,0.08180459357929198,151
44731,0.08174260228346761,152
64806,0.08174111164322187,153
2428,0.08163029499858622,154
62691,0.0816142019209062,155
35879,0.08153673537037778,156
52200,0.08150560493304163,157
2249,0.08148651696538327,158
36375,0.08130236329169256,159
12387,0.08111370050995687,160
8485,0.08095919890543703,161
52377,0.08092939926344843,162
53897,0.08089708544641339,163
38974,0.08067432121499898,164
26647,0.08066427676085448,165
25591,0.08064826695953473,166
13557,0.08052156546877808,167
4562,0.08034541891440221,168
52325,0.08033958459276262,169
23547,0.08030013858522472,170
50284,0.08029988110012969,171
63703,0.08020780317824029,172
17832,0.08019493429320418,173
50674,0.08010698829488873,174
53360,0.0801029017466213,175
21896,0.08008136168486944,176
59309,0.08004915288086055,177
40740,0.07995689362614156,178
60400,0.07994743249535731,179
16620,0.07985348281663461,180
12069,0.0798473028448649,181
45213,0.07981750247574645,182
14417,0.0797525617472577,183
42514,0.0797516003504935,184
7353,0.07971236002748801,185
18467,0.07969080943196058,186
22175,0.07963325290631995,187
13410,0.07958365202117579,188
31975,0.07949140601999466,189
46836,0.07945394280133089,190
59901,0.07927833115237592,191
40645,0.07927212066885451,192
40020,0.07925043504100843,193
38655,0.07924825695293869,194
10272,0.07921750251125545,195
63934,0.07909552977147058,196
54566,0.07906170117445081,197
38767,0.07900964723104256,198
40929,0.07894791764706031,199
28971,0.07889568062598701,200
215,0.0788856220468267,201
26802,0.07887606296646961,202
5021,0.07878037596182798,203
38572,0.07875851660865858,204
25401,0.07864565975090164,205
64586,0.07857378891465934,206
40239,0.0785602978089202,207
15783,0.07848232196768655,208
17536,0.07847774838107893,209
46398,0.07845703202639945,210
47491,0.07839586831222484,211
56637,0.07838156530535269,212
31702,0.07835117911846842,213
24462,0.07833099946688325,214
35969,0.0783144077320865,215
22964,0.07821549231619741,216
27828,0.07798490649408811,217
8070,0.07791839738011247,218
14405,0.07777567254211357,219
10689,0.07776808773043983,220
59568,0.07764483718758547,221
61238,0.07759055533685803,222
41279,0.07752652587715236,223
41821,0.07750928534203308,224
5346,0.0774909408152505,225
28816,0.07729578460709244,226
49972,0.07721609919182996,227
1650,0.07719944016883032,228
55737,0.07710577263426972,229
16076,0.0771044190520049,230
41291,0.0770436464586349,231
45688,0.07698767019095261,232
35336,0.07698242629733244,233
43861,0.07690963943694608,234
34412,0.07686269505495959,235
25434,0.07680044508061759,236
17881,0.07676997520977004,237
920,0.07672799886102687,238
64460,0.07668799827606486,239
22310,0.07668215379985956,240
56412,0.07662141037076545,241
8369,0.07653306592441256,242
1417,0.07652747325201847,243
33925,0.07651623123408861,244
27696,0.07645417015395574,245
22245,0.07640520978954606,246
45219,0.076322919207542,247
58619,0.07615038194000293,248
30384,0.07610394410204814,249
40254,0.07608919043848078,250
60531,0.07594732326242083,251
54181,0.07594043751730742,252
3154,0.07577471764814317,253
29001,0.07574684255430023,254
58720,0.07571548217947058,255
2935,0.07568040860362733,256
19818,0.07563813702634133,257
49560,0.07560005876602126,258
34354,0.07559743675713751,259
6363,0.07524336157392654,260
53935,0.07508206315642021,261
14465,0.07501021375497698,262
54548,0.07496616356796122,263
56799,0.0748396027289757,264
15197,0.07479259554995159,265
18204,0.07474203042099342,266
12823,0.07472893847371771,267
19327,0.07467150526297117,268
17610,0.074554420987622,269
27642,0.07453518487762906,270
32841,0.07449638892578518,271
19434,0.07445820319767471,272
12568,0.07441534201918742,273
13260,0.07434125279616824,274
18316,0.07433506230857088,275
29795,0.07431352970526131,276
10008,0.07427124528618871,277
